id_cl;nombre;ciudad;presupuesto_en_miles;id_estadio
101;Junior de Barranquilla;Barranquilla;24,13;200
102;Atlético Nacional;Medellin;22,38;201
103;Deportes Tolima;Ibague;21,48 ;202
104;Millonarios FC;Bogotá;19,10 ;203
105;CD América de Cali;Cali;15,05;204
106;Independiente Medellín;Medellin;15,03;205
107;Deportivo Cali ;Cali;14,7;206
108;Independiente Santa Fe;Bogotá;14,50 ;207
109;Once Caldas;Manizales;10,55 ;208
110;Alianza Petrolera;Barrancabermeja;9,6;209
111;CD La Equidad Seguros SA;Bogotá;9,3;210
112;Atlético Bucaramanga;Bucaranga;8,95;211
113;Águilas Doradas;Rionegro;8,6;212
114;Deportivo Pereira;Pereira;8,18;213
115;Jaguares de Córdoba;Córdoba;7,73;214
116;Asociación Deportivo Pasto;Pasto;7,53;215
117;Envigado FC;Envigado;6,7;216
118;Boyacá Patriotas FC;Boyacá;6,10 ;217
119;Cortuluá;Tulua;5,93;218
120;AD Union Magdalena;Santa Marta;4,55;219
