id_club;id_dt;fecha_inicial;fecha_final;salario;id_contrato_dt
101;100001;2022-01-01;2022-12-31;20000;801
102;100002;2022-03-01;2022-12-31;10000;802
103;100003;2019-12-06;2024-09-10;15000;803
104;100004;2020-01-01;2022-12-31;19000;804
105;100005;2022-04-06;2024-09-10;11000;805
106;100006;2021-09-07;2024-09-10;9000;806
107;100007;2021-09-08;2022-06-30;18000;807
108;100008;2022-05-19;2023-12-31;8000;808
109;100009;2021-08-26;2023-06-30;12000;809
110;100010;2021-07-01;2024-09-10;7000;810
111;100011;2020-01-01;2023-06-30;17000;811
112;100012;2022-02-24;2022-12-31;13000;812
113;100013;2022-01-01;2024-09-10;6000;813
114;100014;2022-01-01;2022-12-31;16000;814
115;100015;2022-01-01;2024-09-10;14000;815
116;100016;2021-08-10;2023-06-30;5000;816
117;100017;2021-05-18;2022-12-31;15000;817
118;100018;2022-02-09;2023-06-30;13000;818
119;100019;2022-01-11;2022-12-31;4000;819
120;100020;2022-04-12;2024-09-10;15500;820
