capacidad;nombre;id_es;;;;
46.692;Metropolitano Roberto Meléndez;200;;;;
44.412;Atanasio Girardot;201;;;;
28.100;Manuel Murillo Toro;202;;;;
36.343; El Campín;203;;;;
46.400;Estadio Pascual Guerrero;204;;;;
44.739;Estadio Atanasio Girardot;205;;;;
44.000;Estadio Deportivo Cali;206;;;;
36.343;Estadio El Campín;207;;;;
28.678; Palogrande;208;;;;
10.400; Daniel Villa Zapata;209;;;;
10.000; Metropolitano de Techo;210;;;;
25.000;Alfonso López;211;;;;
14.000;Estadio Alberto Grisales;212;;;;
30.297;Hernán Ramírez Villegas;213;;;;
12.000;Jaraguay;214;;;;
18.000; Departamental Libertad;215;;;;
14.000;Polideportivo Sur;216;;;;
25.000;Estadio La Independencia;217;;;;
15.300; Doce de Octubre;218;;;;
16.000;Sierra Nevada;219;;;;
