id_j;edad;altura;pie_habil;nacionalidad;nombre;valor_mercado_en_miles;id_club;posicion
1001;28;1,85;derecho;Colombia;Jefersson Martínez;300;101;Portero
1002;39;1,84;derecho;Uruguay ;Sebastián Viera;275;101;Portero
1003;24;1,83;derecho;Colombia;Sebastián Araujo;150;101;Portero
1004;20;1,6;derecho;Colombia;Jaime Acosta;280;101;Portero
1005;24;1,85;derecho;Colombia;Homer Martínez;950;101;Defenza central
1006;29;1,83;izquierdo;Colombia;Jorge Arias;800;101;Defenza central
1007;32;1,87;izquierdo;Colombia;Germán Mera;800;101;Defenza central
1008;28;1,87;derecho;Colombia;Dany Rosero;800;101;Defenza central
1009;21;1,9;izquierdo;Colombia;Alfonso Simarra;150;101;Defenza central
1010;25;1,8;izquierdo;Colombia;Gabriel Fuentes;990;101;Lateral izquierdo
1011;30;1,79;izquierdo;Colombia;Edwin Velasco;600;101;Lateral izquierdo
1012;27;1,72;derecho;Colombia;Walmer Pacheco;150;101;Lateral derecho
1013;30;1,67;derecho;Colombia;Fabián Viáfara;280;101;Lateral derecho
1014;26;1,83;derecho;Colombia;Nilson Castrillón;950;101;Lateral derecho
1015;29;1,78;derecho;Colombia;Daniel Giraldo;800;101;Pivote
1016;30;1,81;izquierdo;Colombia;Didier Moreno;800;101;Pivote
1017;26;1,78;derecho;Colombia  ;Enrique Serje;800;101;Pivote
1018;21;1,75;derecho;Colombia;Fabián Ángel;150;101;Mediocentro
1019;31;1,68;derecho;Colombia;Yesús Cabrera;990;101;Mediocentro
1020;23;1,79;derecho;Colombia;Carlos Esparragoza;600;101;Mediocentro
1021;22;1,82;derecho;Colombia;Neider Sanjuán;700;101;Interior derecho
1022;33;1,7;derecho;Argentina;Fabián Sambueza;600;101;Mediocentro ofensivo
1023;31;1,7;derecho;Venezuela;Luis González;100;101;Extremo izquierdo
1024;32;1,78;izquierdo;Colombia;Fredy Hinestroza;200;101;Extremo izquierdo
1025;26;1,83;izquierdo;Colombia;Omar Albornoz;900;101;Extremo izquierdo
1026;33;1,75;izquierdo;Colombia;Jhon Fredy Pajoy;250;101;Extremo izquierdo
1027;24;1,7;derecho;Colombia;Edwuin Cetré;300;101;Extremo derecho
1028;29;1,83;derecho;Colombia;Miguel Borja;275;101;Delantero centro
1029;34;1,82;izquierdo;Colombia;Fernando Uribe;150;101;Delantero centro
1030;37;1,75;derecho;Colombia;Carmelo Valencia;280;101;Delantero centro
1031;27;1,95;izquierdo;Colombia;Aldair Quintana;950;102;Portero
1032;21;1,9;derecho;Colombia;Kevin Mier;800;102;Portero
1033;19;1,87;derecho;Colombia;Miguel Marquines;800;102;Portero
1034;29;1,9;derecho;Colombia;Felipe Aguilar;800;102;Defenza central
1035;32;1,8;derecho;Argentina;Emanuel Olivera;150;102;Defenza central
1036;21;1,92;derecho;Colombia;Cristian Castro;990;102;Defenza central
1037;24;1,77;izquierdo;Colombia;Álvaro Angulo;600;102;Lateral izquierdo
1038;32;1,85;izquierdo;Colombia;Danovis Banguero;150;102;Lateral izquierdo
1039;21;1,86;izquierdo;Colombia;Juan Cabal;280;102;Lateral izquierdo
1040;19;1,87;izquierdo;Colombia;Jimer Fory;950;102;Lateral izquierdo
1041;30;1,7;derecho;Colombia;Yerson Candelo;800;102;Lateral derecho
1042;22;1,81;derecho;Colombia;Hayen Palacios;800;102;Lateral derecho
1043;29;1,73;izquierdo;Colombia;Jhon Duque;800;102;Pivote
1044;33;1,78;derecho;Colombia;Alexander Mejía;150;102;Pivote
1045;29;1,87;derecho;Colombia;Baldomero Perlaza;990;102;Mediocentro
1046;25;1,72;izquierdo;Colombia;Sebastián Gómez;600;102;Mediocentro
1047;20;1,8;derecho;Colombia;Nelson Palacio;700;102;Mediocentro
1048;25;1,73;derecho;Colombia;Daniel Mantilla;600;102;Interior izquierdo
1049;26;1,7;izquierdo;Colombia;Jarlan Barrera;100;102;Mediocentro ofensivo
1050;24;1,7;derecho;Colombia;Yeison Guzmán;200;102;Mediocentro ofensivo
1051;33;1,78;derecho;Colombia  ;Andrés Andrade;900;102;Mediocentro ofensivo
1052;35;1,92;izquierdo;Colombia;Giovanni Moreno;250;102;Mediocentro ofensivo
1053;34;1,68;derecho;Colombia;Dorlan Pabón;200;102;Extremo derecho
1054;34;1,83;derecho;Colombia;Jefferson Duque;120;102;Delantero centro
1055;19;1,74;izquierdo;Colombia  ;Tomás Ángel;400;102;Delantero centro
1056;23;1,79;derecho;Colombia;Ruyery Blanco;652;102;Delantero centro
1057;29;1,95;derecho;Colombia;William Cuesta;822;103;Portero
1058;34;1,96;derecho;Ecuador;Alexander Domínguez;480;103;Portero
1059;17;1,93;derecho;Colombia;Alejandro Aguilar;300;103;Portero
1060;28;1,85;derecho;Colombia;Sergio Mosquera;275;103;Defenza central
1061;32;1,95;derecho;Colombia;Julián Quiñónes;150;103;Defenza central
1062;25;1,87;derecho;Colombia;Anderson Angulo;280;103;Defenza central
1063;29;1,85;derecho;Colombia;José Moya;950;103;Defenza central
1064;27;1,86;izquierdo;Colombia;Eduar Caicedo;800;103;Defenza central
1065;25;1,82;izquierdo;Colombia;Jeison Angulo;800;103;Lateral izquierdo
1066;23;1,72;izquierdo;Colombia;Junior Hernández;800;103;Lateral izquierdo
