id_lo;color_principal;color_secundario;id_club
100001;rojo;blanco;101
100002;verde;blanco;102
100003;vinotinto;amarilllo;103
100004;azul;blanco;104
100005;rojo ;rojo oscuro;105
100006;rojo;azul;106
100007;blanco;verde;107
100008;rojo;blanco;108
100009;blanco;verde;109
100010;amarilllo;negro;110
100011;verde;verde oscuro;111
100012;amarilllo;verde;112
100013;dorado;negro;113
100014;amarilllo;rojo;114
100015;celeste;blanco;115
100016;rojo;azul;116
100017;naranja;negro;117
100018;rojo;blanco;118
100019;rojo;verde;119
100020;azul;rojo;120
