id_uv;color_principal;color_secundario;id_club
10001;negro;gris;101
10002;verde oscuro;verde fosforescente;102
10003;blanco;vinotinto;103
10004;blanco;azul;104
10005;celeste;blanco;105
10006;azul;blanco;106
10007;verde;blanco;107
10008;blanco;rojo ;108
10009;negro;dorado;109
10010;blanco;amarilllo;110
10011;verde;negro;111
10012;blanco;verde;112
10013;azul;azul oscuro;113
10014;azul;azul oscuro;114
10015;blanco;celeste;115
10016;azul;rojo;116
10017;blanco;naranja;117
10018;verde;rojo;118
10019;verde;rojo;119
10020;azul;rojo;120
